id,sample_id,repository,link_to_project,commit_hash,short_commit_hash,status
528,5786929,git@github.com:apache/tez.git,https://github.com/apache/tez,d5675c332497c1ac1dedefdf91e87476b5c0d7a9,d5675c3,
535,5789396,git@github.com:apache/tika.git,https://github.com/apache/tika,4131c6e30f2e0eb1feb85e0f7576531d4e830468,4131c6e,
536,5799314,git@github.com:apache/tapestry-5.git,https://github.com/apache/tapestry-5,542950fc0266e8f9be1aacb5d6ba92146ae20f1b,542950f,
546,5812130,git@github.com:apache/tinkerpop.git,https://github.com/apache/tinkerpop,7d9df0f0acf08f9e675ca7b337fc5e0243c09b53,7d9df0f,
551,5822090,git@github.com:apache/uima-ruta.git,https://github.com/apache/uima-ruta,08efb111a775b4ba01cf048ac699aa9c22188325,08efb11,Corrupted
554,5828468,git@github.com:apache/unomi.git,https://github.com/apache/unomi,1745c5221401a05e66ebf80fbe9cce2790442b3a,1745c52,
556,5839091,git@github.com:apache/tomcat.git,https://github.com/apache/tomcat,a9c1a0661198d9ba37c1facd8385fe05d538c4ad,a9c1a06,
578,5857044,git@github.com:apache/uima-uimaj.git,https://github.com/apache/uima-uimaj,e79c33b5a3e4c25afb407e68e98df1829a68e5a7,e79c33b,
588,5875400,git@github.com:apache/usergrid.git,https://github.com/apache/usergrid,ac1e6e4035f9307b871478ed47246cf92cfd5f7f,ac1e6e4,
594,5894781,git@github.com:apache/webservices-xmlschema.git,https://github.com/apache/webservices-xmlschema,f189e891c88298f52f92cfe8f24dccb809e05607,f189e89,Corrupted
598,5898336,git@github.com:apache/xml-graphics-commons.git,https://github.com/apache/xml-graphics-commons,dabbb28ff2d80efad587b84b16c73f54379cd514,dabbb28,
602,5905362,git@github.com:apache/xalan-j.git,https://github.com/apache/xalan-j,cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa,cba6d7f,
614,5938889,git@github.com:apache/zookeeper.git,https://github.com/apache/zookeeper,07c3aaf3d723fb3144c0aedc0c2b655325df70e9,07c3aaf,
618,5935402,git@github.com:apache/zeppelin.git,https://github.com/apache/zeppelin,4219d552349f8f7f3e6de34505b8a8ae9835f98b,4219d55,
625,5971146,git@github.com:apache/tomee.git,https://github.com/apache/tomee,d21933b313aff812fe5188b57bf572a9ad649148,d21933b,
626,6002683,git@github.com:apache/wss4j.git,https://github.com/apache/wss4j,5c2cbd7e7377296edab02ab79fc98b84fb47f825,5c2cbd7,Corrupted
634,6009975,git@github.com:cloudfoundry/java-buildpack-dependency-builder.git,https://github.com/cloudfoundry/java-buildpack-dependency-builder,d15085bcf74312af19ad40bee847e43c3b4e32ee,d15085b,
643,6009432,git@github.com:baidu/Jprotobuf-rpc-socket.git,https://github.com/baidu/Jprotobuf-rpc-socket,4422e24c725eaf1f76646f674718bcc8750a4e1d,4.422E+027,
644,6012953,git@github.com:cloudfoundry/cf-java-client.git,https://github.com/cloudfoundry/cf-java-client,6fabcf647302158b638cf2c44cee389e1df9b964,6fabcf6,
647,6133656,git@github.com:eclipse/dltk.core.git,https://github.com/eclipse/dltk.core,ff5ee79db0c2234347cb3f956de9b31047f43613,ff5ee79,
651,6025409,git@github.com:eclipse/buildship.git,https://github.com/eclipse/buildship,3111a7a9fe3e22d6123366686874ecd42aa2a53a,3111a7a,
652,6051731,git@github.com:eclipse/dawnsci.git,https://github.com/eclipse/dawnsci,1131d5c65e9e8ea98141eecee1743cf1053544f4,1131d5c,
656,6073506,git@github.com:eclipse/ditto.git,https://github.com/eclipse/ditto,7fec826b94f3711f6c6ef6be1685b60bd1a8ccb5,7fec826,
